"","state_icpsr","district","nominate_dim1","nominate_dim2","party_code","statefp","st_name","state_abbrev","eff_gap","nom","nom_std","nom_1_std","nom_2_std","repub","dem","lib_cons","cbsa_name","cbsa_code","within_state","counter","nom_state","population","PVI","dem_chance","race_category","minority_chance","comp_count","maj_min","cbsa_title","z_pindex","lib_cons_str"
"1",61,1,-0.161,0.005,100,4,"Arizona","AZ","None",-0.1589209365,-0.49034828074292,-0.34385994083583,0.0382684320862654,FALSE,TRUE,0,"Phoenix",38060,1,1,0.038,710224,-2.46,32.48981104706,"Non-Hispanic White Majority",39.8499817857619,1,0,"Phoenix, AZ",0.0363,"Liberal"
"2",61,3,-0.598,-0.245,100,4,"Arizona","AZ","None",-0.6998741115,-1.60500158177587,-0.78085994083583,-0.211731567913735,FALSE,TRUE,0,"Phoenix",38060,1,1,0.038,710224,12.57,97.3452374680274,"Maj-Min (Latino)",75.9161021324239,0,1,"Phoenix, AZ",0.0363,"Liberal"
"3",61,4,0.611,-0.324,200,4,"Arizona","AZ","None",0.4762766852,0.818499062349542,0.42814005916417,-0.290731567913735,TRUE,FALSE,1,"Phoenix",38060,1,1,0.038,710224,-21.29,0.159554211521088,"Non-Hispanic White Majority",1.67056737126934,0,0,"Phoenix, AZ",0.0363,"Conservative"
"4",61,5,0.673,-0.272,200,4,"Arizona","AZ","None",0.5598989456,0.990805710877294,0.49014005916417,-0.238731567913735,TRUE,FALSE,1,"Phoenix",38060,1,1,0.038,710224,-14.57,1.17652011594826,"Non-Hispanic White Majority",1.94463509889274,0,0,"Phoenix, AZ",0.0363,"Conservative"
"5",61,6,0.631,-0.328,200,4,"Arizona","AZ","None",0.4946134344,0.856282587746159,0.44814005916417,-0.294731567913735,TRUE,FALSE,1,"Phoenix",38060,1,1,0.038,710224,-9.43,5.42504038430714,"Non-Hispanic White Majority",2.15134277270851,0,0,"Phoenix, AZ",0.0363,"Conservative"
"6",61,7,-0.421,0.12,100,4,"Arizona","AZ","None",-0.371102476,-0.927555906748494,-0.60385994083583,0.153268432086265,FALSE,TRUE,0,"Phoenix",38060,1,1,0.038,710224,22.97,99.9080266272958,"Maj-Min (Latino)",87.7009337714595,0,1,"Phoenix, AZ",0.0363,"Liberal"
"7",61,8,0.749,0.087,200,4,"Arizona","AZ","None",0.7851757049,1.45499650410029,0.56614005916417,0.120268432086265,TRUE,FALSE,1,"Phoenix",38060,1,1,0.038,710225,-13.39,1.68212909628364,"Non-Hispanic White Majority",2.28161373959438,0,0,"Phoenix, AZ",0.0363,"Conservative"
"8",61,9,-0.109,0.05,100,4,"Arizona","AZ","None",-0.088209365,-0.34464456693497,-0.29185994083583,0.0832684320862654,FALSE,TRUE,0,"Phoenix",38060,1,1,0.038,710224,3.98,77.0259684043374,"Non-Hispanic White Majority",10.6044946099934,1,0,"Phoenix, AZ",0.0363,"Liberal"
"9",71,1,0.559,0.075,200,6,"California","CA","None",0.5901859525,1.05321316826858,0.37614005916417,0.108268432086265,TRUE,FALSE,1,"Sacramento",40900,1,1,-0.587,702905,-11.04,3.34326116500435,"Non-Hispanic White Majority",1.65293503504064,0,0,"Sacramento, CA",-0.0763,"Conservative"
"10",71,2,-0.433,-0.501,100,6,"California","CA","None",-0.6413221627,-1.48435320400855,-0.615859940835831,-0.467731567913735,FALSE,TRUE,0,"San Francisco",41860,1,1,-0.587,702905,21.79,99.869078750353,"Non-Hispanic White Majority",8.81956914801907,0,0,"San Francisco, CA",-0.5886,"Liberal"
"11",71,3,-0.313,-0.099,100,6,"California","CA","None",-0.3541654573,-0.89265657594484,-0.49585994083583,-0.0657315679137346,FALSE,TRUE,0,"Sacramento",40900,1,1,-0.587,702906,4.72,80.8195227081594,"Non-Hispanic White Majority",11.0059540543379,1,0,"Sacramento, CA",-0.0763,"Liberal"
"12",71,4,0.745,-0.521,200,6,"California","CA","None",0.5283615833,0.925821851611532,0.56214005916417,-0.487731567913735,TRUE,FALSE,1,"Sacramento",40900,1,1,-0.587,702906,-10.19,4.27683941171836,"Non-Hispanic White Majority",1.63182767069161,0,0,"Sacramento, CA",-0.0763,"Conservative"
"13",71,5,-0.395,0.064,100,6,"California","CA","None",-0.3683879872,-0.921962605809763,-0.57785994083583,0.0972684320862654,FALSE,TRUE,0,"San Francisco",41860,1,1,-0.587,702905,21.35,99.8503215451155,"Non-Hispanic White Majority",16.5777051859895,0,0,"San Francisco, CA",-0.5886,"Liberal"
"14",71,6,-0.434,-0.173,100,6,"California","CA","None",-0.5059355971,-1.20538435931778,-0.61685994083583,-0.139731567913735,FALSE,TRUE,0,"Sacramento",40900,1,1,-0.587,702905,20.91,99.8283602347182,"Maj-Min (Coalition)",24.3265110134869,0,1,"Sacramento, CA",-0.0763,"Liberal"
"15",71,7,-0.226,-0.007,100,6,"California","CA","None",-0.2289106889,-0.634564660563852,-0.40885994083583,0.0262684320862654,FALSE,TRUE,0,"Sacramento",40900,1,1,-0.587,702904,2.55,68.4388605408405,"Non-Hispanic White Majority",4.59313249958045,1,0,"Sacramento, CA",-0.0763,"Liberal"
"16",71,8,0.383,0.198,200,6,"California","CA","None",0.4653309146,0.795944911832467,0.20014005916417,0.231268432086265,TRUE,FALSE,1,"Riverside",40140,1,1,-0.587,702905,-9.13,5.81274365661121,"Non-Hispanic White Majority",11.7492264791909,0,0,"Riverside, CA",-0.034,"Conservative"
"17",71,9,-0.259,-0.137,100,6,"California","CA","None",-0.3159663399,-0.813945932816708,-0.44185994083583,-0.103731567913735,FALSE,TRUE,0,"Sacramento",40900,1,1,-0.587,702904,7.89,91.6924278920834,"Maj-Min (Coalition)",24.5542673929793,0,1,"Sacramento, CA",-0.0763,"Liberal"
"18",71,9,-0.259,-0.137,100,6,"California","CA","None",-0.3159663399,-0.813945932816708,-0.44185994083583,-0.103731567913735,FALSE,TRUE,0,"San Francisco",41860,1,1,-0.587,702904,7.89,91.6924278920834,"Maj-Min (Coalition)",24.5542673929793,0,1,"San Francisco, CA",-0.5886,"Liberal"
"19",71,11,-0.552,-0.398,100,6,"California","CA","None",-0.7174934546,-1.64130686632928,-0.734859940835831,-0.364731567913735,FALSE,TRUE,0,"San Francisco",41860,1,1,-0.587,702906,21.08,99.838492209253,"Non-Hispanic White Majority",17.893971298538,0,0,"San Francisco, CA",-0.5886,"Liberal"
"20",71,12,-0.491,-0.206,100,6,"California","CA","None",-0.5766574162,-1.35110918867083,-0.67385994083583,-0.172731567913735,FALSE,TRUE,0,"San Francisco",41860,1,1,-0.587,702905,37.42,99.998883813792,"Maj-Min (Coalition)",37.0801831628043,0,1,"San Francisco, CA",-0.5886,"Liberal"
"21",71,13,-0.686,-0.616,100,6,"California","CA","None",-0.9421406232,-2.10420036547122,-0.868859940835831,-0.582731567913735,FALSE,TRUE,0,"San Francisco",41860,1,1,-0.587,702906,40.2,99.9995230161303,"Maj-Min (Coalition)",39.9984379877096,0,1,"San Francisco, CA",-0.5886,"Liberal"
"22",71,14,-0.383,-0.455,100,6,"California","CA","None",-0.5721947785,-1.34191376460549,-0.56585994083583,-0.421731567913735,FALSE,TRUE,0,"San Francisco",41860,1,1,-0.587,702905,26.85,99.9719583246518,"Maj-Min (Coalition)",31.2093637985259,0,1,"San Francisco, CA",-0.5886,"Liberal"
"23",71,15,-0.362,-0.098,100,6,"California","CA","None",-0.4027496446,-0.99276602580979,-0.54485994083583,-0.0647315679137346,FALSE,TRUE,0,"San Francisco",41860,1,1,-0.587,702904,20.37,99.7995586590631,"Maj-Min (Coalition)",22.5455453825152,0,1,"San Francisco, CA",-0.5886,"Liberal"
"24",71,17,-0.529,-0.482,100,6,"California","CA","None",-0.7294217214,-1.66588548529056,-0.71185994083583,-0.448731567913735,FALSE,TRUE,0,"San Francisco",41860,1,1,-0.587,702904,24.51,99.9428048931426,"Maj-Min (Coalition)",52.208134203648,0,1,"San Francisco, CA",-0.5886,"Liberal"
"25",71,17,-0.529,-0.482,100,6,"California","CA","None",-0.7294217214,-1.66588548529056,-0.71185994083583,-0.448731567913735,FALSE,TRUE,0,"San Jose",41940,1,1,-0.587,702904,24.51,99.9428048931426,"Maj-Min (Coalition)",52.208134203648,0,1,"San Jose, CA",-0.4356,"Liberal"
"26",71,18,-0.382,-0.428,100,6,"California","CA","None",-0.5599678356,-1.31671971289292,-0.56485994083583,-0.394731567913735,FALSE,TRUE,0,"San Francisco",41860,1,1,-0.587,702906,22.77,99.8986156735796,"Non-Hispanic White Majority",10.6706862522611,0,0,"San Francisco, CA",-0.5886,"Liberal"
"27",71,18,-0.382,-0.428,100,6,"California","CA","None",-0.5599678356,-1.31671971289292,-0.56485994083583,-0.394731567913735,FALSE,TRUE,0,"San Jose",41940,1,1,-0.587,702906,22.77,99.8986156735796,"Non-Hispanic White Majority",10.6706862522611,0,0,"San Jose, CA",-0.4356,"Liberal"
"28",71,19,-0.402,-0.446,100,6,"California","CA","None",-0.5874524642,-1.37335276989764,-0.58485994083583,-0.412731567913735,FALSE,TRUE,0,"San Jose",41940,1,1,-0.587,702904,23.51,99.9229153074393,"Maj-Min (Coalition)",41.7220644222919,0,1,"San Jose, CA",-0.4356,"Liberal"
"29",71,20,-0.455,-0.219,100,6,"California","CA","None",-0.5460629813,-1.28806826492633,-0.637859940835831,-0.185731567913735,FALSE,TRUE,0,"San Jose",41940,1,1,-0.587,702906,22.57,99.900450692313,"Maj-Min (Coalition)",56.2351486384147,0,1,"San Jose, CA",-0.4356,"Liberal"
"30",71,23,0.462,0.194,200,6,"California","CA","None",0.5426676638,0.955300040466174,0.27914005916417,0.227268432086265,TRUE,FALSE,1,"Los Angeles",31080,1,1,-0.587,702904,-13.89,1.43055379335976,"Non-Hispanic White Majority",9.52945247320059,0,0,"Los Angeles, CA",-0.3033,"Conservative"
"31",71,25,0.396,0.208,200,6,"California","CA","None",0.4824890416,0.831299844170359,0.21314005916417,0.241268432086265,TRUE,FALSE,1,"Los Angeles",31080,1,1,-0.587,702904,-0.22,48.2485194264778,"Non-Hispanic White Majority",16.3088589163308,1,0,"Los Angeles, CA",-0.3033,"Conservative"
"32",71,26,-0.283,0.048,100,6,"California","CA","None",-0.2630409904,-0.704891363484533,-0.46585994083583,0.0812684320862654,FALSE,TRUE,0,"Los Angeles",31080,1,1,-0.587,702905,6.91,89.1159217165243,"Non-Hispanic White Majority",27.5725177807836,0,0,"Los Angeles, CA",-0.3033,"Liberal"
"33",71,27,-0.489,-0.357,100,6,"California","CA","None",-0.6374451339,-1.47636444795749,-0.67185994083583,-0.323731567913735,FALSE,TRUE,0,"Los Angeles",31080,1,1,-0.587,702905,15.51,99.121914881412,"Maj-Min (Coalition)",30.1442252215642,0,1,"Los Angeles, CA",-0.3033,"Liberal"
"34",71,27,-0.489,-0.357,100,6,"California","CA","None",-0.6374451339,-1.47636444795749,-0.67185994083583,-0.323731567913735,FALSE,TRUE,0,"Riverside",40140,1,1,-0.587,702905,15.51,99.121914881412,"Maj-Min (Coalition)",30.1442252215642,0,1,"Riverside, CA",-0.034,"Liberal"
"35",71,28,-0.347,-0.128,100,6,"California","CA","None",-0.4002240256,-0.987561897826806,-0.52985994083583,-0.0947315679137346,FALSE,TRUE,0,"Los Angeles",31080,1,1,-0.587,702904,22.94,99.9080266272958,"Non-Hispanic White Majority",15.8450143644416,0,0,"Los Angeles, CA",-0.3033,"Liberal"
"36",71,29,-0.377,0.012,100,6,"California","CA","None",-0.3720102476,-0.929426402490614,-0.55985994083583,0.0452684320862654,FALSE,TRUE,0,"Los Angeles",31080,1,1,-0.587,702905,29.06,99.9856983353713,"Maj-Min (Latino)",90.786615587843,0,1,"Los Angeles, CA",-0.3033,"Liberal"
"37",71,30,-0.342,-0.148,100,6,"California","CA","None",-0.4035402796,-0.994395157411915,-0.524859940835831,-0.114731567913735,FALSE,TRUE,0,"Los Angeles",31080,1,1,-0.587,702904,18.43,99.6374655035034,"Non-Hispanic White Majority",15.3188130886118,0,0,"Los Angeles, CA",-0.3033,"Liberal"
"38",71,31,0.478,0.222,200,6,"California","CA","None",0.5703104194,1.01225892379131,0.29514005916417,0.255268432086265,TRUE,FALSE,1,"Riverside",40140,1,1,-0.587,702905,8.3,92.5959050501787,"Maj-Min (Coalition)",50.7005864006674,0,1,"Riverside, CA",-0.034,"Conservative"
"39",71,32,-0.447,-0.242,100,6,"California","CA","None",-0.5476266734,-1.29129030824101,-0.629859940835831,-0.208731567913735,FALSE,TRUE,0,"Los Angeles",31080,1,1,-0.587,702905,17.15,99.4638162064061,"Maj-Min (Latino)",76.7150675755388,0,1,"Los Angeles, CA",-0.3033,"Liberal"
"40",71,33,-0.473,-0.343,100,6,"California","CA","None",-0.6156237561,-1.43140072111023,-0.65585994083583,-0.309731567913735,FALSE,TRUE,0,"Los Angeles",31080,1,1,-0.587,702904,15.54,99.1298361337004,"Non-Hispanic White Majority",5.33634346539848,0,0,"Los Angeles, CA",-0.3033,"Liberal"
"41",71,34,-0.512,-0.283,100,6,"California","CA","None",-0.6296749941,-1.46035379790897,-0.69485994083583,-0.249731567913735,FALSE,TRUE,0,"Los Angeles",31080,1,1,-0.587,702904,35.5,99.9979901950718,"Maj-Min (Latino)",90.6289625556218,0,1,"Los Angeles, CA",-0.3033,"Liberal"
"42",71,35,-0.437,0.035,100,6,"California","CA","None",-0.4224465555,-1.03335221287642,-0.619859940835831,0.0682684320862654,FALSE,TRUE,0,"Los Angeles",31080,1,1,-0.587,702905,18.63,99.6588275706246,"Maj-Min (Latino)",88.8814198745748,0,1,"Los Angeles, CA",-0.3033,"Liberal"
"43",71,35,-0.437,0.035,100,6,"California","CA","None",-0.4224465555,-1.03335221287642,-0.619859940835831,0.0682684320862654,FALSE,TRUE,0,"Riverside",40140,1,1,-0.587,702905,18.63,99.6588275706246,"Maj-Min (Latino)",88.8814198745748,0,1,"Riverside, CA",-0.034,"Liberal"
"44",71,36,-0.235,0.063,100,6,"California","CA","None",-0.2088037999,-0.593133699007238,-0.41785994083583,0.0962684320862654,FALSE,TRUE,0,"Riverside",40140,1,1,-0.587,702905,1.56,61.6656053526486,"Non-Hispanic White Majority",27.2095638713671,1,0,"Riverside, CA",-0.034,"Liberal"
"45",71,37,-0.576,-0.11,100,6,"California","CA","None",-0.621739397,-1.44400221719557,-0.75885994083583,-0.0767315679137346,FALSE,TRUE,0,"Los Angeles",31080,1,1,-0.587,702904,36.9,99.9986881706066,"Maj-Min (Coalition)",70.5110048095498,0,1,"Los Angeles, CA",-0.3033,"Liberal"
"46",71,38,-0.506,-0.153,100,6,"California","CA","None",-0.5696193431,-1.33660698815445,-0.68885994083583,-0.119731567913735,FALSE,TRUE,0,"Los Angeles",31080,1,1,-0.587,702905,17.1,99.4556289002274,"Maj-Min (Latino)",76.4911147180476,0,1,"Los Angeles, CA",-0.3033,"Liberal"
"47",71,39,0.662,-0.368,200,6,"California","CA","None",0.5089809264,0.885887317185753,0.47914005916417,-0.334731567913735,TRUE,FALSE,1,"Los Angeles",31080,1,1,-0.587,702905,-0.19,48.5529367217135,"Maj-Min (Coalition)",11.2251739985536,1,1,"Los Angeles, CA",-0.3033,"Conservative"
"48",71,39,0.662,-0.368,200,6,"California","CA","None",0.5089809264,0.885887317185753,0.47914005916417,-0.334731567913735,TRUE,FALSE,1,"Riverside",40140,1,1,-0.587,702905,-0.19,48.5529367217135,"Maj-Min (Coalition)",11.2251739985536,1,1,"Riverside, CA",-0.034,"Conservative"
"49",71,40,-0.47,-0.199,100,6,"California","CA","None",-0.5527467273,-1.30184036182208,-0.65285994083583,-0.165731567913735,FALSE,TRUE,0,"Los Angeles",31080,1,1,-0.587,702904,33.3,99.9960708446754,"Maj-Min (Latino)",98.6903248184848,0,1,"Los Angeles, CA",-0.3033,"Liberal"
"50",71,41,-0.471,-0.223,100,6,"California","CA","None",-0.5637262321,-1.32446402286082,-0.65385994083583,-0.189731567913735,FALSE,TRUE,0,"Riverside",40140,1,1,-0.587,702904,12.31,97.6981714183037,"Maj-Min (Latino)",66.1280108759128,0,1,"Riverside, CA",-0.034,"Liberal"
"51",71,42,0.348,0.2,200,6,"California","CA","None",0.43116254,0.725539757932002,0.16514005916417,0.233268432086265,TRUE,FALSE,1,"Riverside",40140,1,1,-0.587,702906,-8.56,6.85940897698549,"Non-Hispanic White Majority",12.0509224312378,0,0,"Riverside, CA",-0.034,"Conservative"
"52",71,43,-0.657,-0.089,100,6,"California","CA","None",-0.6940073303,-1.59291286997374,-0.83985994083583,-0.0557315679137346,FALSE,TRUE,0,"Los Angeles",31080,1,1,-0.587,702904,29.48,99.9874545305249,"Maj-Min (Coalition)",77.3097395661217,0,1,"Los Angeles, CA",-0.3033,"Liberal"
"53",71,44,-0.39,-0.376,100,6,"California","CA","None",-0.5463455752,-1.28865055973121,-0.57285994083583,-0.342731567913735,FALSE,TRUE,0,"Los Angeles",31080,1,1,-0.587,702904,35.1,99.997743460152,"Maj-Min (Latino)",96.3317444040629,0,1,"Los Angeles, CA",-0.3033,"Liberal"
"54",71,45,0.748,-0.415,200,6,"California","CA","None",0.5754377295,1.02282392903115,0.56514005916417,-0.381731567913735,TRUE,FALSE,1,"Los Angeles",31080,1,1,-0.587,702906,-3.1,27.934553219395,"Non-Hispanic White Majority",4.52339658520044,1,0,"Los Angeles, CA",-0.3033,"Conservative"
"55",71,46,-0.367,0.025,100,6,"California","CA","None",-0.3566046825,-0.897682686423151,-0.54985994083583,0.0582684320862654,FALSE,TRUE,0,"Los Angeles",31080,1,1,-0.587,702906,15.12,99.0092146592372,"Maj-Min (Latino)",79.8296006790875,0,1,"Los Angeles, CA",-0.3033,"Liberal"
"56",71,47,-0.443,-0.349,100,6,"California","CA","None",-0.5881186323,-1.3747254330153,-0.625859940835831,-0.315731567913735,FALSE,TRUE,0,"Los Angeles",31080,1,1,-0.587,702905,12.68,97.9446903151738,"Maj-Min (Coalition)",22.5694224621338,0,1,"Los Angeles, CA",-0.3033,"Liberal"
"57",71,48,0.627,-0.404,200,6,"California","CA","None",0.4590116692,0.782923881416762,0.44414005916417,-0.370731567913735,TRUE,FALSE,1,"Los Angeles",31080,1,1,-0.587,702906,-4.07,22.4392281165824,"Non-Hispanic White Majority",3.46150388518886,1,0,"Los Angeles, CA",-0.3033,"Conservative"
"58",71,49,0.505,-0.08,200,6,"California","CA","None",0.471734984,0.809140725123986,0.32214005916417,-0.0467315679137346,TRUE,FALSE,1,"Los Angeles",31080,1,1,-0.587,702906,-1.22,40.5172197582004,"Non-Hispanic White Majority",6.45250266127738,1,0,"Los Angeles, CA",-0.3033,"Conservative"
"59",71,49,0.505,-0.08,200,6,"California","CA","None",0.471734984,0.809140725123986,0.32214005916417,-0.0467315679137346,TRUE,FALSE,1,"San Diego",41740,1,1,-0.587,702906,-1.22,40.5172197582004,"Non-Hispanic White Majority",6.45250266127738,1,0,"San Diego, CA",-0.1811,"Conservative"
"60",71,50,0.512,0.148,200,6,"California","CA","None",0.5735402796,1.01891416587175,0.32914005916417,0.181268432086265,TRUE,FALSE,1,"Riverside",40140,1,1,-0.587,702905,-11.35,3.06011602983541,"Non-Hispanic White Majority",6.07727127771426,0,0,"Riverside, CA",-0.034,"Conservative"
"61",71,50,0.512,0.148,200,6,"California","CA","None",0.5735402796,1.01891416587175,0.32914005916417,0.181268432086265,TRUE,FALSE,1,"San Diego",41740,1,1,-0.587,702905,-11.35,3.06011602983541,"Non-Hispanic White Majority",6.07727127771426,0,0,"San Diego, CA",-0.1811,"Conservative"
"62",71,51,-0.392,0.123,100,6,"California","CA","None",-0.3408550379,-0.865229982280161,-0.57485994083583,0.156268432086265,FALSE,TRUE,0,"San Diego",41740,1,1,-0.587,702906,21.73,99.8674752873069,"Maj-Min (Latino)",89.9485957509598,0,1,"San Diego, CA",-0.1811,"Liberal"
"63",71,52,-0.175,-0.062,100,6,"California","CA","None",-0.2007803874,-0.576601171531687,-0.35785994083583,-0.0287315679137346,FALSE,TRUE,0,"San Diego",41740,1,1,-0.587,702904,6.13,86.6930757953461,"Non-Hispanic White Majority",5.1545730942281,0,0,"San Diego, CA",-0.1811,"Liberal"
"64",71,53,-0.343,-0.107,100,6,"California","CA","None",-0.3874919589,-0.961327020517644,-0.52585994083583,-0.0737315679137346,FALSE,TRUE,0,"San Diego",41740,1,1,-0.587,702904,14.14,98.6649850081039,"Maj-Min (Coalition)",20.8731487645905,0,1,"San Diego, CA",-0.1811,"Liberal"
"65",62,1,-0.432,-0.312,100,8,"Colorado","CO","None",-0.5617335624,-1.32035805590911,-0.61485994083583,-0.278731567913735,FALSE,TRUE,0,"Denver",19740,1,1,0.04,718457,21.14,99.8404457884789,"Non-Hispanic White Majority",20.2366369606066,0,0,"Denver, CO",-0.1654,"Liberal"
"66",62,2,-0.28,-0.688,100,8,"Colorado","CO","None",-0.5660791376,-1.32931226852015,-0.46285994083583,-0.654731567913735,FALSE,TRUE,0,"Denver",19740,1,1,0.04,718457,9.02,93.9492357227052,"Non-Hispanic White Majority",2.58255140419382,0,0,"Denver, CO",-0.1654,"Liberal"
"67",62,4,0.454,-0.02,200,8,"Colorado","CO","None",0.445683746,0.755461220548206,0.27114005916417,0.0132684320862654,TRUE,FALSE,1,"Denver",19740,1,1,0.04,718456,-12.78,1.99485345803725,"Non-Hispanic White Majority",2.69652686519472,0,0,"Denver, CO",-0.1654,"Conservative"
